"","subject","item","region","measure","proficiency","sort","condition","skips","rawdata","nozero","ambiguity","gender"
"722",1,18,"spillover2","tt",71,"spillover2 tt",2,0,713,713,0.5,0.5
"724",1,15,"spillover2","tt",71,"spillover2 tt",3,0,668,668,-0.5,-0.5
"726",1,1,"spillover2","tt",71,"spillover2 tt",1,0,447,447,0.5,-0.5
"728",1,6,"spillover2","tt",71,"spillover2 tt",2,0,389,389,0.5,0.5
"730",1,3,"spillover2","tt",71,"spillover2 tt",3,0,461,461,-0.5,-0.5
"732",1,14,"spillover2","tt",71,"spillover2 tt",2,0,436,436,0.5,0.5
"734",1,4,"spillover2","tt",71,"spillover2 tt",4,0,956,956,-0.5,0.5
"736",1,17,"spillover2","tt",71,"spillover2 tt",1,0,703,703,0.5,-0.5
"738",1,5,"spillover2","tt",71,"spillover2 tt",1,0,372,372,0.5,-0.5
"740",1,13,"spillover2","tt",71,"spillover2 tt",1,0,289,289,0.5,-0.5
"742",1,22,"spillover2","tt",71,"spillover2 tt",2,0,658,658,0.5,0.5
"744",1,8,"spillover2","tt",71,"spillover2 tt",4,0,1218,1218,-0.5,0.5
"746",1,9,"spillover2","tt",71,"spillover2 tt",1,0,402,402,0.5,-0.5
"748",1,19,"spillover2","tt",71,"spillover2 tt",3,0,1144,1144,-0.5,-0.5
"750",1,24,"spillover2","tt",71,"spillover2 tt",4,0,714,714,-0.5,0.5
"752",1,12,"spillover2","tt",71,"spillover2 tt",4,0,1846,1846,-0.5,0.5
"754",1,20,"spillover2","tt",71,"spillover2 tt",4,0,189,189,-0.5,0.5
"756",1,10,"spillover2","tt",71,"spillover2 tt",2,0,1962,1962,0.5,0.5
"758",1,11,"spillover2","tt",71,"spillover2 tt",3,0,1391,1391,-0.5,-0.5
"760",1,16,"spillover2","tt",71,"spillover2 tt",4,0,1042,1042,-0.5,0.5
"762",1,7,"spillover2","tt",71,"spillover2 tt",3,0,1634,1634,-0.5,-0.5
"764",1,2,"spillover2","tt",71,"spillover2 tt",2,0,1042,1042,0.5,0.5
"766",1,21,"spillover2","tt",71,"spillover2 tt",1,0,825,825,0.5,-0.5
"768",1,23,"spillover2","tt",71,"spillover2 tt",3,0,1499,1499,-0.5,-0.5
"1586",2,16,"spillover2","tt",71,"spillover2 tt",1,0,952,952,0.5,-0.5
"1588",2,4,"spillover2","tt",71,"spillover2 tt",1,0,583,583,0.5,-0.5
"1590",2,2,"spillover2","tt",71,"spillover2 tt",3,0,2060,2060,-0.5,-0.5
"1592",2,13,"spillover2","tt",71,"spillover2 tt",2,0,511,511,0.5,0.5
"1594",2,19,"spillover2","tt",71,"spillover2 tt",4,0,756,756,-0.5,0.5
"1596",2,12,"spillover2","tt",71,"spillover2 tt",1,0,1307,1307,0.5,-0.5
"1598",2,10,"spillover2","tt",71,"spillover2 tt",3,0,293,293,-0.5,-0.5
"1600",2,3,"spillover2","tt",71,"spillover2 tt",4,0,925,925,-0.5,0.5
"1602",2,9,"spillover2","tt",71,"spillover2 tt",2,0,334,334,0.5,0.5
