"","X","group","subject","item","region","measure","sort","condition","skips","rawdata","nozero","ambiguity","continuation"
"1",32641,"Native",1,38,"wrap_up","tt","wrap_up tt",6,0,429,429,-0.5,-0.5
"2",32643,"Native",1,39,"wrap_up","tt","wrap_up tt",7,0,343,343,0.5,0.5
"3",32645,"Native",1,26,"wrap_up","tt","wrap_up tt",6,0,503,503,-0.5,-0.5
"4",32647,"Native",1,34,"wrap_up","tt","wrap_up tt",6,0,672,672,-0.5,-0.5
"5",32649,"Native",1,46,"wrap_up","tt","wrap_up tt",6,0,459,459,-0.5,-0.5
"6",32651,"Native",1,29,"wrap_up","tt","wrap_up tt",5,0,424,424,0.5,-0.5
"7",32653,"Native",1,36,"wrap_up","tt","wrap_up tt",8,0,1163,1163,-0.5,0.5
"8",32655,"Native",1,30,"wrap_up","tt","wrap_up tt",6,0,542,542,-0.5,-0.5
"9",32657,"Native",1,40,"wrap_up","tt","wrap_up tt",8,0,439,439,-0.5,0.5
"10",32659,"Native",1,33,"wrap_up","tt","wrap_up tt",5,0,196,196,0.5,-0.5
"11",32661,"Native",1,43,"wrap_up","tt","wrap_up tt",7,0,598,598,0.5,0.5
"12",32663,"Native",1,28,"wrap_up","tt","wrap_up tt",8,0,185,185,-0.5,0.5
"13",32665,"Native",1,31,"wrap_up","tt","wrap_up tt",7,0,311,311,0.5,0.5
"14",32667,"Native",1,45,"wrap_up","tt","wrap_up tt",5,0,495,495,0.5,-0.5
"15",32669,"Native",1,25,"wrap_up","tt","wrap_up tt",5,0,191,191,0.5,-0.5
"16",32671,"Native",1,41,"wrap_up","tt","wrap_up tt",5,0,1385,1385,0.5,-0.5
"17",32673,"Native",1,42,"wrap_up","tt","wrap_up tt",6,0,219,219,-0.5,-0.5
"18",32675,"Native",1,37,"wrap_up","tt","wrap_up tt",5,0,949,949,0.5,-0.5
"19",32677,"Native",1,32,"wrap_up","tt","wrap_up tt",8,0,323,323,-0.5,0.5
"20",32679,"Native",1,48,"wrap_up","tt","wrap_up tt",8,0,743,743,-0.5,0.5
"21",32681,"Native",1,47,"wrap_up","tt","wrap_up tt",7,0,178,178,0.5,0.5
"22",32683,"Native",1,44,"wrap_up","tt","wrap_up tt",8,0,1090,1090,-0.5,0.5
"23",32685,"Native",1,27,"wrap_up","tt","wrap_up tt",7,0,432,432,0.5,0.5
"24",32687,"Native",1,35,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"25",32689,"Native",2,46,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"26",32691,"Native",2,25,"wrap_up","tt","wrap_up tt",6,0,154,154,-0.5,-0.5
"27",32693,"Native",2,39,"wrap_up","tt","wrap_up tt",8,0,163,163,-0.5,0.5
"28",32695,"Native",2,38,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"29",32697,"Native",2,30,"wrap_up","tt","wrap_up tt",7,0,183,183,0.5,0.5
"30",32699,"Native",2,27,"wrap_up","tt","wrap_up tt",8,0,435,435,-0.5,0.5
"31",32701,"Native",2,29,"wrap_up","tt","wrap_up tt",6,0,655,655,-0.5,-0.5
"32",32703,"Native",2,33,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5
"33",32705,"Native",2,32,"wrap_up","tt","wrap_up tt",5,0,128,128,0.5,-0.5
"34",32707,"Native",2,43,"wrap_up","tt","wrap_up tt",8,0,376,376,-0.5,0.5
"35",32709,"Native",2,45,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5
"36",32711,"Native",2,48,"wrap_up","tt","wrap_up tt",5,0,195,195,0.5,-0.5
"37",32713,"Native",2,47,"wrap_up","tt","wrap_up tt",8,0,275,275,-0.5,0.5
"38",32715,"Native",2,31,"wrap_up","tt","wrap_up tt",8,1,0,NA,-0.5,0.5
"39",32717,"Native",2,26,"wrap_up","tt","wrap_up tt",7,0,112,112,0.5,0.5
"40",32719,"Native",2,42,"wrap_up","tt","wrap_up tt",7,0,97,97,0.5,0.5
"41",32721,"Native",2,36,"wrap_up","tt","wrap_up tt",5,0,352,352,0.5,-0.5
"42",32723,"Native",2,35,"wrap_up","tt","wrap_up tt",8,1,0,NA,-0.5,0.5
"43",32725,"Native",2,44,"wrap_up","tt","wrap_up tt",5,0,153,153,0.5,-0.5
"44",32727,"Native",2,41,"wrap_up","tt","wrap_up tt",6,0,260,260,-0.5,-0.5
"45",32729,"Native",2,37,"wrap_up","tt","wrap_up tt",6,0,793,793,-0.5,-0.5
"46",32731,"Native",2,40,"wrap_up","tt","wrap_up tt",5,0,207,207,0.5,-0.5
"47",32733,"Native",2,28,"wrap_up","tt","wrap_up tt",5,0,194,194,0.5,-0.5
"48",32735,"Native",2,34,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"49",32738,"Native",3,34,"wrap_up","tt","wrap_up tt",8,0,763,763,-0.5,0.5
"50",32740,"Native",3,30,"wrap_up","tt","wrap_up tt",8,0,1172,1172,-0.5,0.5
"51",32742,"Native",3,38,"wrap_up","tt","wrap_up tt",8,0,474,474,-0.5,0.5
"52",32744,"Native",3,43,"wrap_up","tt","wrap_up tt",5,0,500,500,0.5,-0.5
"53",32746,"Native",3,47,"wrap_up","tt","wrap_up tt",5,0,723,723,0.5,-0.5
"54",32748,"Native",3,25,"wrap_up","tt","wrap_up tt",7,0,1027,1027,0.5,0.5
"55",32750,"Native",3,37,"wrap_up","tt","wrap_up tt",7,0,537,537,0.5,0.5
"56",32752,"Native",3,40,"wrap_up","tt","wrap_up tt",6,0,539,539,-0.5,-0.5
"57",32754,"Native",3,42,"wrap_up","tt","wrap_up tt",8,0,305,305,-0.5,0.5
"58",32756,"Native",3,33,"wrap_up","tt","wrap_up tt",7,0,779,779,0.5,0.5
"59",32758,"Native",3,39,"wrap_up","tt","wrap_up tt",5,0,617,617,0.5,-0.5
"60",32760,"Native",3,41,"wrap_up","tt","wrap_up tt",7,0,317,317,0.5,0.5
"61",32762,"Native",3,27,"wrap_up","tt","wrap_up tt",5,0,536,536,0.5,-0.5
"62",32764,"Native",3,29,"wrap_up","tt","wrap_up tt",7,0,704,704,0.5,0.5
"63",32766,"Native",3,46,"wrap_up","tt","wrap_up tt",8,0,258,258,-0.5,0.5
"64",32768,"Native",3,28,"wrap_up","tt","wrap_up tt",6,0,350,350,-0.5,-0.5
"65",32770,"Native",3,35,"wrap_up","tt","wrap_up tt",5,0,220,220,0.5,-0.5
"66",32772,"Native",3,45,"wrap_up","tt","wrap_up tt",7,0,537,537,0.5,0.5
"67",32774,"Native",3,32,"wrap_up","tt","wrap_up tt",6,0,181,181,-0.5,-0.5
"68",32776,"Native",3,26,"wrap_up","tt","wrap_up tt",8,0,333,333,-0.5,0.5
"69",32778,"Native",3,36,"wrap_up","tt","wrap_up tt",6,0,1047,1047,-0.5,-0.5
"70",32780,"Native",3,31,"wrap_up","tt","wrap_up tt",5,0,322,322,0.5,-0.5
"71",32782,"Native",3,48,"wrap_up","tt","wrap_up tt",6,0,312,312,-0.5,-0.5
"72",32784,"Native",3,44,"wrap_up","tt","wrap_up tt",6,0,753,753,-0.5,-0.5
"73",32786,"Native",4,43,"wrap_up","tt","wrap_up tt",6,0,281,281,-0.5,-0.5
"74",32788,"Native",4,33,"wrap_up","tt","wrap_up tt",8,0,334,334,-0.5,0.5
"75",32790,"Native",4,29,"wrap_up","tt","wrap_up tt",8,0,1034,1034,-0.5,0.5
"76",32792,"Native",4,41,"wrap_up","tt","wrap_up tt",8,0,328,328,-0.5,0.5
"77",32794,"Native",4,26,"wrap_up","tt","wrap_up tt",5,0,92,92,0.5,-0.5
"78",32796,"Native",4,28,"wrap_up","tt","wrap_up tt",7,0,337,337,0.5,0.5
"79",32798,"Native",4,25,"wrap_up","tt","wrap_up tt",8,0,492,492,-0.5,0.5
"80",32800,"Native",4,34,"wrap_up","tt","wrap_up tt",5,0,523,523,0.5,-0.5
"81",32802,"Native",4,38,"wrap_up","tt","wrap_up tt",5,0,149,149,0.5,-0.5
"82",32804,"Native",4,30,"wrap_up","tt","wrap_up tt",5,0,465,465,0.5,-0.5
"83",32806,"Native",4,48,"wrap_up","tt","wrap_up tt",7,0,208,208,0.5,0.5
"84",32808,"Native",4,27,"wrap_up","tt","wrap_up tt",6,0,796,796,-0.5,-0.5
"85",32810,"Native",4,35,"wrap_up","tt","wrap_up tt",6,0,141,141,-0.5,-0.5
"86",32812,"Native",4,45,"wrap_up","tt","wrap_up tt",8,0,202,202,-0.5,0.5
"87",32814,"Native",4,42,"wrap_up","tt","wrap_up tt",5,0,179,179,0.5,-0.5
"88",32816,"Native",4,47,"wrap_up","tt","wrap_up tt",6,0,163,163,-0.5,-0.5
"89",32818,"Native",4,39,"wrap_up","tt","wrap_up tt",6,0,185,185,-0.5,-0.5
"90",32820,"Native",4,44,"wrap_up","tt","wrap_up tt",7,0,414,414,0.5,0.5
"91",32822,"Native",4,32,"wrap_up","tt","wrap_up tt",7,0,324,324,0.5,0.5
"92",32824,"Native",4,37,"wrap_up","tt","wrap_up tt",8,0,385,385,-0.5,0.5
"93",32826,"Native",4,46,"wrap_up","tt","wrap_up tt",5,1,0,NA,0.5,-0.5
"94",32828,"Native",4,31,"wrap_up","tt","wrap_up tt",6,0,258,258,-0.5,-0.5
"95",32830,"Native",4,40,"wrap_up","tt","wrap_up tt",7,0,261,261,0.5,0.5
"96",32832,"Native",4,36,"wrap_up","tt","wrap_up tt",7,0,547,547,0.5,0.5
"97",32833,"Native",5,39,"wrap_up","tt","wrap_up tt",7,0,448,448,0.5,0.5
"98",32835,"Native",5,33,"wrap_up","tt","wrap_up tt",5,0,162,162,0.5,-0.5
"99",32837,"Native",5,30,"wrap_up","tt","wrap_up tt",6,0,213,213,-0.5,-0.5
"100",32839,"Native",5,46,"wrap_up","tt","wrap_up tt",6,0,173,173,-0.5,-0.5
"101",32841,"Native",5,25,"wrap_up","tt","wrap_up tt",5,0,370,370,0.5,-0.5
"102",32843,"Native",5,42,"wrap_up","tt","wrap_up tt",6,0,452,452,-0.5,-0.5
"103",32845,"Native",5,41,"wrap_up","tt","wrap_up tt",5,0,379,379,0.5,-0.5
"104",32847,"Native",5,36,"wrap_up","tt","wrap_up tt",8,0,774,774,-0.5,0.5
"105",32849,"Native",5,34,"wrap_up","tt","wrap_up tt",6,0,370,370,-0.5,-0.5
"106",32851,"Native",5,35,"wrap_up","tt","wrap_up tt",7,0,218,218,0.5,0.5
"107",32853,"Native",5,43,"wrap_up","tt","wrap_up tt",7,0,227,227,0.5,0.5
"108",32855,"Native",5,47,"wrap_up","tt","wrap_up tt",7,0,426,426,0.5,0.5
"109",32857,"Native",5,38,"wrap_up","tt","wrap_up tt",6,0,268,268,-0.5,-0.5
"110",32859,"Native",5,27,"wrap_up","tt","wrap_up tt",7,0,768,768,0.5,0.5
"111",32861,"Native",5,45,"wrap_up","tt","wrap_up tt",5,0,166,166,0.5,-0.5
"112",32863,"Native",5,37,"wrap_up","tt","wrap_up tt",5,0,209,209,0.5,-0.5
"113",32865,"Native",5,48,"wrap_up","tt","wrap_up tt",8,0,298,298,-0.5,0.5
"114",32867,"Native",5,44,"wrap_up","tt","wrap_up tt",8,0,637,637,-0.5,0.5
"115",32869,"Native",5,26,"wrap_up","tt","wrap_up tt",6,0,395,395,-0.5,-0.5
"116",32871,"Native",5,32,"wrap_up","tt","wrap_up tt",8,0,218,218,-0.5,0.5
"117",32873,"Native",5,28,"wrap_up","tt","wrap_up tt",8,0,133,133,-0.5,0.5
"118",32875,"Native",5,31,"wrap_up","tt","wrap_up tt",7,0,165,165,0.5,0.5
"119",32877,"Native",5,29,"wrap_up","tt","wrap_up tt",5,0,458,458,0.5,-0.5
"120",32879,"Native",5,40,"wrap_up","tt","wrap_up tt",8,0,223,223,-0.5,0.5
"121",32882,"Native",6,30,"wrap_up","tt","wrap_up tt",7,0,278,278,0.5,0.5
"122",32884,"Native",6,35,"wrap_up","tt","wrap_up tt",8,0,142,142,-0.5,0.5
"123",32886,"Native",6,43,"wrap_up","tt","wrap_up tt",8,0,191,191,-0.5,0.5
"124",32888,"Native",6,36,"wrap_up","tt","wrap_up tt",5,0,440,440,0.5,-0.5
"125",32890,"Native",6,32,"wrap_up","tt","wrap_up tt",5,1,0,NA,0.5,-0.5
"126",32892,"Native",6,37,"wrap_up","tt","wrap_up tt",6,0,105,105,-0.5,-0.5
"127",32894,"Native",6,47,"wrap_up","tt","wrap_up tt",8,0,354,354,-0.5,0.5
"128",32896,"Native",6,33,"wrap_up","tt","wrap_up tt",6,0,122,122,-0.5,-0.5
"129",32898,"Native",6,41,"wrap_up","tt","wrap_up tt",6,0,357,357,-0.5,-0.5
"130",32900,"Native",6,26,"wrap_up","tt","wrap_up tt",7,0,136,136,0.5,0.5
"131",32902,"Native",6,39,"wrap_up","tt","wrap_up tt",8,0,126,126,-0.5,0.5
"132",32904,"Native",6,38,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"133",32906,"Native",6,25,"wrap_up","tt","wrap_up tt",6,0,143,143,-0.5,-0.5
"134",32908,"Native",6,34,"wrap_up","tt","wrap_up tt",7,0,151,151,0.5,0.5
"135",32910,"Native",6,27,"wrap_up","tt","wrap_up tt",8,0,170,170,-0.5,0.5
"136",32912,"Native",6,48,"wrap_up","tt","wrap_up tt",5,0,280,280,0.5,-0.5
"137",32914,"Native",6,28,"wrap_up","tt","wrap_up tt",5,0,161,161,0.5,-0.5
"138",32916,"Native",6,31,"wrap_up","tt","wrap_up tt",8,0,280,280,-0.5,0.5
"139",32918,"Native",6,46,"wrap_up","tt","wrap_up tt",7,0,108,108,0.5,0.5
"140",32920,"Native",6,40,"wrap_up","tt","wrap_up tt",5,0,468,468,0.5,-0.5
"141",32922,"Native",6,42,"wrap_up","tt","wrap_up tt",7,0,245,245,0.5,0.5
"142",32924,"Native",6,45,"wrap_up","tt","wrap_up tt",6,0,135,135,-0.5,-0.5
"143",32926,"Native",6,44,"wrap_up","tt","wrap_up tt",5,0,358,358,0.5,-0.5
"144",32928,"Native",6,29,"wrap_up","tt","wrap_up tt",6,0,149,149,-0.5,-0.5
"145",32929,"Native",7,44,"wrap_up","tt","wrap_up tt",6,0,1302,1302,-0.5,-0.5
"146",32931,"Native",7,35,"wrap_up","tt","wrap_up tt",5,0,639,639,0.5,-0.5
"147",32933,"Native",7,26,"wrap_up","tt","wrap_up tt",8,0,3249,3249,-0.5,0.5
"148",32935,"Native",7,38,"wrap_up","tt","wrap_up tt",8,0,709,709,-0.5,0.5
"149",32937,"Native",7,28,"wrap_up","tt","wrap_up tt",6,0,162,162,-0.5,-0.5
"150",32939,"Native",7,45,"wrap_up","tt","wrap_up tt",7,0,431,431,0.5,0.5
"151",32941,"Native",7,41,"wrap_up","tt","wrap_up tt",7,0,101,101,0.5,0.5
"152",32943,"Native",7,43,"wrap_up","tt","wrap_up tt",5,0,2866,2866,0.5,-0.5
"153",32945,"Native",7,27,"wrap_up","tt","wrap_up tt",5,0,203,203,0.5,-0.5
"154",32947,"Native",7,32,"wrap_up","tt","wrap_up tt",6,0,175,175,-0.5,-0.5
"155",32949,"Native",7,47,"wrap_up","tt","wrap_up tt",5,0,1227,1227,0.5,-0.5
"156",32951,"Native",7,42,"wrap_up","tt","wrap_up tt",8,0,1139,1139,-0.5,0.5
"157",32953,"Native",7,29,"wrap_up","tt","wrap_up tt",7,0,141,141,0.5,0.5
"158",32955,"Native",7,46,"wrap_up","tt","wrap_up tt",8,0,334,334,-0.5,0.5
"159",32957,"Native",7,36,"wrap_up","tt","wrap_up tt",6,0,1624,1624,-0.5,-0.5
"160",32959,"Native",7,39,"wrap_up","tt","wrap_up tt",5,0,517,517,0.5,-0.5
"161",32961,"Native",7,48,"wrap_up","tt","wrap_up tt",6,0,417,417,-0.5,-0.5
"162",32963,"Native",7,33,"wrap_up","tt","wrap_up tt",7,1,0,NA,0.5,0.5
"163",32965,"Native",7,34,"wrap_up","tt","wrap_up tt",8,0,574,574,-0.5,0.5
"164",32967,"Native",7,40,"wrap_up","tt","wrap_up tt",6,0,221,221,-0.5,-0.5
"165",32969,"Native",7,30,"wrap_up","tt","wrap_up tt",8,0,514,514,-0.5,0.5
"166",32971,"Native",7,25,"wrap_up","tt","wrap_up tt",7,0,327,327,0.5,0.5
"167",32973,"Native",7,31,"wrap_up","tt","wrap_up tt",5,0,355,355,0.5,-0.5
"168",32975,"Native",7,37,"wrap_up","tt","wrap_up tt",7,0,202,202,0.5,0.5
"169",32978,"Native",8,46,"wrap_up","tt","wrap_up tt",5,0,452,452,0.5,-0.5
"170",32980,"Native",8,41,"wrap_up","tt","wrap_up tt",8,0,290,290,-0.5,0.5
"171",32982,"Native",8,39,"wrap_up","tt","wrap_up tt",6,0,277,277,-0.5,-0.5
"172",32984,"Native",8,35,"wrap_up","tt","wrap_up tt",6,1,0,NA,-0.5,-0.5
"173",32986,"Native",8,26,"wrap_up","tt","wrap_up tt",5,0,852,852,0.5,-0.5
"174",32988,"Native",8,44,"wrap_up","tt","wrap_up tt",7,0,595,595,0.5,0.5
"175",32990,"Native",8,38,"wrap_up","tt","wrap_up tt",5,0,725,725,0.5,-0.5
"176",32992,"Native",8,28,"wrap_up","tt","wrap_up tt",7,0,256,256,0.5,0.5
"177",32994,"Native",8,34,"wrap_up","tt","wrap_up tt",5,0,634,634,0.5,-0.5
"178",32996,"Native",8,36,"wrap_up","tt","wrap_up tt",7,0,525,525,0.5,0.5
"179",32998,"Native",8,48,"wrap_up","tt","wrap_up tt",7,0,368,368,0.5,0.5
"180",33000,"Native",8,47,"wrap_up","tt","wrap_up tt",6,0,531,531,-0.5,-0.5
"181",33002,"Native",8,25,"wrap_up","tt","wrap_up tt",8,0,313,313,-0.5,0.5
"182",33004,"Native",8,43,"wrap_up","tt","wrap_up tt",6,0,300,300,-0.5,-0.5
